,Date,CloseSharePrice,model,office,candidate,win_prob
227,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007575757575757576
228,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007575757575757576
229,9/1/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015151515151515152
230,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007575757575757576
231,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007575757575757576
232,9/1/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007575757575757576
233,9/1/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007575757575757576
234,9/2/2020 12:00:00 AM,0.04,PredictIt,P,Harris,0.030303030303030307
235,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007575757575757577
236,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007575757575757577
237,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007575757575757577
238,9/2/2020 12:00:00 AM,0.58,PredictIt,P,Biden,0.4393939393939394
239,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007575757575757577
240,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007575757575757577
241,9/2/2020 12:00:00 AM,0.45,PredictIt,P,Trump,0.34090909090909094
242,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007575757575757577
243,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007575757575757577
244,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007575757575757577
245,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007575757575757577
246,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007575757575757577
247,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007575757575757577
248,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007575757575757577
249,9/2/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007575757575757577
250,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007575757575757577
251,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007575757575757577
252,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007575757575757577
253,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007575757575757577
254,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007575757575757577
255,9/2/2020 12:00:00 AM,0.03,PredictIt,P,Clinton,0.022727272727272728
256,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007575757575757577
257,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007575757575757577
258,9/2/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007575757575757577
259,9/2/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007575757575757577
260,9/3/2020 12:00:00 AM,0.04,PredictIt,P,Harris,0.030534351145038167
261,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007633587786259542
262,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007633587786259542
263,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007633587786259542
264,9/3/2020 12:00:00 AM,0.58,PredictIt,P,Biden,0.4427480916030534
265,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007633587786259542
266,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007633587786259542
267,9/3/2020 12:00:00 AM,0.45,PredictIt,P,Trump,0.3435114503816794
268,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007633587786259542
269,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007633587786259542
270,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007633587786259542
271,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007633587786259542
272,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007633587786259542
273,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007633587786259542
274,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007633587786259542
275,9/3/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007633587786259542
276,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007633587786259542
277,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007633587786259542
278,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007633587786259542
279,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007633587786259542
280,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007633587786259542
281,9/3/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015267175572519083
282,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007633587786259542
283,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007633587786259542
284,9/3/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007633587786259542
285,9/3/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007633587786259542
286,9/4/2020 12:00:00 AM,0.04,PredictIt,P,Harris,0.030303030303030307
287,9/4/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007575757575757577
288,9/4/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007575757575757577
289,9/4/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007575757575757577
290,9/4/2020 12:00:00 AM,0.59,PredictIt,P,Biden,0.446969696969697
291,9/4/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007575757575757577
